,Product Name,Product Code,Regular Price,Happy Price,Discount,Page Link,Image Link,Category
2454,TELEFUNKEN TDW C14S,Шифра: 70354,"17,999 Ден.","14,779 Ден.",-18%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/telefunken-tdw-c14s70354,https://setec.mk/image/cache/catalog/Product/70354_0-228x228.jpg,Бела Техника
2455,MIDEA MFD60S090W-MK,Шифра: 76218,"19,999 Ден.","15,495 Ден.",-23%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/midea-mfd60s090w-mk76218,https://setec.mk/image/cache/catalog/Product/76218_0-228x228.jpg,Бела Техника
2456,TELEFUNKEN TDW C146W LCD,Шифра: 76423,"17,999 Ден.","15,599 Ден.",-13%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/telefunken-tdw-c146w-lcd76423,https://setec.mk/image/cache/catalog/Product/76423_0-228x228.jpg,Бела Техника
2457,MIDEA WQP12-5201-DB,Шифра: 77745,"20,999 Ден.","16,579 Ден.",-21%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/midea-wqp12-5201-db77745,https://setec.mk/image/cache/catalog/Product/77745_0-228x228.jpg,Бела Техника
2458,MIDEA WQP12-5201-DS,Шифра: 73359,"20,999 Ден.","16,579 Ден.",-21%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/midea-wqp12-5201-ds73359,https://setec.mk/image/cache/catalog/Product/73359_0-228x228.jpg,Бела Техника
2459,TELEFUNKEN TDW C146B LCD,Шифра: 76425,"18,999 Ден.","17,009 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/telefunken-tdw-c146b-lcd76425,https://setec.mk/image/cache/catalog/Product/76425_0-228x228.jpg,Бела Техника
2460,TELEFUNKEN TDW C146S LCD,Шифра: 76424,"18,999 Ден.","17,009 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/telefunken-tdw-c146s-lcd76424,https://setec.mk/image/cache/catalog/Product/76424_0-228x228.jpg,Бела Техника
2461,CANDY CF3E7L0W,Шифра: 77106,"23,999 Ден.","17,995 Ден.",-25%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/candy-cf-3e7l0w77106,https://setec.mk/image/cache/catalog/Product/77106_0-228x228.jpg,Бела Техника
2462,HOTPOINT ARISTON HFC 2B19,Шифра: 71785,"25,999 Ден.","17,995 Ден.",-31%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/hotpoint-ariston-hfc-2b1971785,https://setec.mk/image/cache/catalog/Product/71785_0-228x228.jpg,Бела Техника
2463,INDESIT DFE 1B19 13,Шифра: 73814,"23,999 Ден.","17,995 Ден.",-25%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/indesit-dfe-1b19-1373814,https://setec.mk/image/cache/catalog/Product/73814_0-228x228.jpg,Бела Техника
2464,WHIRLPOOL WFE 2B19,Шифра: 69986,"23,999 Ден.","17,995 Ден.",-25%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/whirlpool-wfe-2b1969986,https://setec.mk/image/cache/catalog/Product/69986_0-228x228.jpg,Бела Техника
2465,Gorenje GS620E10W,Шифра: 77172,"23,999 Ден.","18,995 Ден.",-21%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/gorenje-gs620e10w77172,https://setec.mk/image/cache/catalog/Product/77172_0-228x228.jpg,Бела Техника
2466,HOTPOINT ARISTON HFC 2B19X,Шифра: 71945,"26,999 Ден.","18,995 Ден.",-30%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/hotpoint-ariston-hfc-2b19x71945,https://setec.mk/image/cache/catalog/Product/71945_0-228x228.jpg,Бела Техника
2467,INDESIT DFC 2B+19 AC,Шифра: 73815,"26,999 Ден.","18,995 Ден.",-30%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/indesit-dfc-2b-19-ac73815,https://setec.mk/image/cache/catalog/Product/73815_0-228x228.jpg,Бела Техника
2468,CANDY CF3E7Е0W,Шифра: 78357,"23,999 Ден.","19,699 Ден.",-18%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм?product_id=78357,https://setec.mk/image/cache/catalog/Product/78357_0-228x228.jpg,Бела Техника
2469,INDESIT DFC 2B+19 AC X,Шифра: 73816,"27,999 Ден.","19,995 Ден.",-29%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/indesit-dfc-2b-19-ac-x73816,https://setec.mk/image/cache/catalog/Product/73816_0-228x228.jpg,Бела Техника
2470,INDESIT DFO 3C26 X,Шифра: 73813,"28,999 Ден.","19,999 Ден.",-31%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/indesit-dfo-3c26-x73813,https://setec.mk/image/cache/catalog/Product/73813_0-228x228.jpg,Бела Техника
2471,CANDY CF3E7L0S,Шифра: 78358,"24,999 Ден.","20,689 Ден.",-17%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм?product_id=78358,https://setec.mk/image/cache/catalog/Product/78358_0-228x228.jpg,Бела Техника
2472,Gorenje GS642E90W,Шифра: 78210,"22,999 Ден.","20,689 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм?product_id=78210,https://setec.mk/image/cache/catalog/Product/78210_0-228x228.jpg,Бела Техника
2473,Gorenje GS62040W,Шифра: 75693,"25,999 Ден.","20,995 Ден.",-19%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/gorenje-gs62040w75693,https://setec.mk/image/cache/catalog/Product/75693_0-228x228.jpg,Бела Техника
2474,CANDY CF3E7L0X,Шифра: 77107,"24,999 Ден.","20,999 Ден.",-16%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/candy-cf-3e7l0x77107,https://setec.mk/image/cache/catalog/Product/77107_0-228x228.jpg,Бела Техника
2475,Gorenje GS642E90X,Шифра: 78211,"23,999 Ден.","21,669 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм?product_id=78211,https://setec.mk/image/cache/catalog/Product/78211_0-228x228.jpg,Бела Техника
2476,Gorenje GS62040S,Шифра: 74954,"26,999 Ден.","21,995 Ден.",-19%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/gorenje-gs62040s74954,https://setec.mk/image/cache/catalog/Product/74954_0-228x228.jpg,Бела Техника
2477,WHIRLPOOL W2F HD624,Шифра: 77807,"28,999 Ден.","22,659 Ден.",-22%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-60цм/whirlpool-w2f-hd62477807,https://setec.mk/image/cache/catalog/Product/77807_0-228x228.jpg,Бела Техника
